iter	Passed	Remaining
1408	25508	155529
1409	25527	155519
1410	25547	155509
1411	25564	155488
1412	25583	155474
1413	25601	155453
1414	25619	155436
1415	25640	155434
1416	25659	155424
1417	25678	155409
1418	25695	155387
1419	25712	155361
1420	25729	155339
1421	25747	155315
1422	25764	155292
1423	25783	155280
1424	25800	155253
1425	25817	155228
1426	25835	155210
1427	25853	155191
1428	25872	155183
1429	25889	155156
1430	25907	155136
1431	25926	155123
1432	25943	155098
1433	25960	155074
1434	25978	155055
1435	25995	155029
1436	26011	155002
1437	26029	154980
1438	26047	154965
1439	26066	154950
1440	26083	154928
1441	26102	154914
1442	26119	154888
1443	26136	154865
1444	26154	154845
1445	26171	154821
1446	26189	154800
1447	26206	154775
1448	26223	154753
1449	26241	154733
1450	26259	154715
1451	26277	154699
1452	26295	154680
1453	26314	154663
1454	26330	154637
1455	26347	154610
1456	26364	154585
1457	26381	154561
1458	26398	154539
1459	26416	154520
1460	26433	154494
1461	26451	154477
1462	26470	154460
1463	26488	154444
1464	26505	154420
1465	26524	154408
1466	26542	154385
1467	26559	154365
1468	26584	154386
1469	26604	154378
1470	26628	154396
1471	26648	154387
1472	26666	154370
1473	26684	154351
1474	26702	154329
1475	26719	154305
1476	26736	154281
1477	26753	154259
1478	26770	154235
1479	26787	154210
1480	26805	154191
1481	26823	154170
1482	26840	154148
1483	26858	154129
1484	26876	154111
1485	26894	154091
1486	26912	154070
1487	26928	154043
1488	26945	154020
1489	26963	153998
1490	26979	153971
1491	26996	153945
1492	27013	153920
1493	27031	153900
1494	27048	153875
1495	27065	153853
1496	27083	153832
1497	27100	153813
1498	27118	153793
1499	27137	153778
1500	27154	153757
1501	27171	153729
1502	27189	153710
1503	27207	153694
1504	27225	153674
1505	27243	153653
1506	27259	153628
1507	27276	153601
1508	27293	153575
1509	27310	153551
1510	27327	153530
1511	27344	153504
1512	27361	153481
1513	27379	153460
1514	27397	153441
1515	27413	153416
1516	27432	153398
1517	27448	153372
1518	27465	153348
1519	27483	153326
1520	27499	153298
1521	27516	153274
1522	27534	153257
1523	27551	153233
1524	27568	153210
1525	27586	153188
1526	27603	153164
1527	27619	153138
1528	27637	153119
1529	27655	153097
1530	27672	153072
1531	27689	153053
1532	27706	153028
1533	27723	153004
1534	27740	152982
1535	27758	152959
1536	27775	152938
1537	27794	152922
1538	27811	152898
1539	27827	152872
1540	27844	152849
1541	27862	152830
1542	27880	152810
1543	27898	152791
1544	27915	152769
1545	27933	152749
1546	27951	152728
1547	27967	152703
1548	27987	152691
1549	28004	152670
1550	28021	152645
1551	28038	152622
1552	28055	152596
1553	28072	152575
1554	28089	152551
1555	28106	152525
1556	28123	152504
1557	28140	152480
1558	28161	152475
1559	28181	152470
1560	28201	152461
1561	28218	152439
1562	28236	152418
1563	28253	152393
1564	28271	152377
1565	28288	152354
1566	28305	152329
1567	28322	152306
1568	28339	152281
1569	28357	152261
1570	28374	152239
1571	28391	152216
1572	28409	152196
1573	28426	152171
1574	28443	152148
1575	28461	152130
1576	28478	152106
1577	28495	152083
1578	28512	152061
1579	28529	152036
1580	28546	152015
1581	28564	151995
1582	28581	151971
1583	28599	151953
1584	28617	151934
1585	28634	151910
1586	28652	151892
1587	28670	151873
1588	28687	151850
1589	28704	151826
1590	28722	151807
1591	28740	151790
1592	28758	151770
1593	28774	151744
1594	28797	151751
1595	28818	151748
1596	28837	151734
1597	28855	151717
1598	28873	151698
1599	28891	151680
1600	28909	151662
1601	28928	151646
1602	28946	151632
1603	28965	151615
1604	28986	151617
1605	29005	151604
1606	29025	151591
1607	29042	151571
1608	29062	151562
1609	29080	151544
1610	29099	151528
1611	29119	151520
1612	29137	151502
1613	29154	151483
1614	29173	151465
1615	29190	151441
1616	29209	151428
1617	29226	151405
1618	29243	151381
1619	29260	151358
1620	29278	151340
1621	29295	151319
1622	29312	151295
1623	29330	151275
1624	29350	151268
1625	29369	151254
1626	29389	151248
1627	29408	151232
1628	29428	151224
1629	29445	151201
1630	29465	151192
1631	29484	151182
1632	29505	151175
1633	29524	151164
1634	29544	151156
1635	29563	151140
1636	29581	151122
1637	29599	151106
1638	29617	151088
1639	29636	151073
1640	29653	151050
1641	29671	151029
1642	29688	151008
1643	29705	150987
1644	29723	150968
1645	29741	150947
1646	29758	150923
1647	29775	150899
1648	29792	150876
1649	29809	150855
1650	29829	150847
1651	29846	150823
1652	29863	150800
1653	29881	150781
1654	29898	150756
1655	29915	150734
1656	29933	150717
1657	29951	150695
1658	29968	150672
1659	29985	150650
1660	30003	150632
1661	30021	150613
1662	30038	150592
1663	30055	150568
1664	30072	150544
1665	30090	150524
1666	30107	150501
